V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	4.35004e-06	0.661958	8.53217e-05	1096.179
30.0	4.51344e-06	0.668676	0.000103682	1096.163
30.0	4.76454e-06	0.675508	0.000125992	1096.15
30.0	5.10547e-06	0.682457	0.000153104	1096.172
30.0	5.5976e-06	0.689513	0.000186049	1096.178
30.0	6.11981e-06	0.696677	0.000226083	1096.165
30.0	6.86953e-06	0.703926	0.000274733	1096.179
30.0	7.87027e-06	0.711255	0.000333851	1096.192
30.0	9.17922e-06	0.718657	0.00040569	1096.175
30.0	1.08906e-05	0.726121	0.000492988	1096.16
30.0	1.31107e-05	0.733639	0.00059907	1096.176
30.0	1.59783e-05	0.74121	0.00072798	1096.178
30.0	1.98272e-05	0.748836	0.000884629	1096.156
30.0	2.47871e-05	0.756514	0.00107499	1096.183
30.0	3.10959e-05	0.764286	0.00130631	1096.18
30.0	3.93826e-05	0.772145	0.0015874	1096.171
30.0	4.95327e-05	0.780127	0.00192898	1096.18
30.0	6.27776e-05	0.78827	0.00234407	1096.176
30.0	7.95057e-05	0.796641	0.00284847	1096.169
30.0	0.000100448	0.805284	0.00346142	1096.167
30.0	0.000126811	0.814291	0.00420626	1096.156
30.0	0.00015955	0.823745	0.00511137	1096.194
30.0	0.000200579	0.833762	0.00621125	1096.197
30.0	0.000250766	0.844469	0.00754781	1096.195
30.0	0.000312836	0.856024	0.00917197	1096.163
30.0	0.000388542	0.868577	0.0111456	1096.174
30.0	0.000481328	0.882319	0.013544	1096.176
30.0	0.000593717	0.897451	0.0164584	1096.189
30.0	0.000729909	0.914129	0.02	1096.169
30.0	0.000730085	0.913919	0.02	1096.172
30.0	0.000594226	0.896956	0.0164584	1096.187
30.0	0.000482334	0.881707	0.013544	1096.182
30.0	0.000389766	0.86791	0.0111456	1096.177
30.0	0.00031322	0.855356	0.00917197	1096.176
30.0	0.00025138	0.843815	0.00754781	1096.174
30.0	0.000200639	0.833126	0.00621125	1096.177
30.0	0.000160232	0.823148	0.00511137	1096.196
30.0	0.000127082	0.813729	0.00420626	1096.18
30.0	0.000100719	0.804771	0.00346142	1096.179
30.0	7.9655e-05	0.796158	0.00284847	1096.178
30.0	6.29752e-05	0.787824	0.00234407	1096.193
30.0	4.96576e-05	0.779705	0.00192898	1096.184
30.0	3.92004e-05	0.771753	0.0015874	1096.179
30.0	3.11164e-05	0.763917	0.00130631	1096.209
30.0	2.48036e-05	0.756172	0.00107499	1096.193
30.0	1.9945e-05	0.748528	0.000884629	1096.206
30.0	1.60302e-05	0.740917	0.00072798	1096.194
30.0	1.31334e-05	0.733368	0.00059907	1096.194
30.0	1.09075e-05	0.725864	0.000492988	1096.191
30.0	9.26351e-06	0.718423	0.00040569	1096.201
30.0	7.9122e-06	0.711035	0.000333851	1096.173
30.0	6.89824e-06	0.703722	0.000274733	1096.193
30.0	6.10964e-06	0.696484	0.000226083	1096.173
30.0	5.56556e-06	0.689336	0.000186049	1096.197
30.0	5.17175e-06	0.682291	0.000153104	1096.201
30.0	4.80096e-06	0.675354	0.000125992	1096.203
30.0	4.56187e-06	0.668526	0.000103682	1096.202
30.0	4.35148e-06	0.661826	8.53217e-05	1096.2
30.0	4.24599e-06	0.655248	7.02131e-05	1096.188
30.0	4.09414e-06	0.648794	5.77798e-05	1096.18
30.0	3.99979e-06	0.642463	4.75482e-05	1096.202
30.0	3.9485e-06	0.636252	3.91284e-05	1096.185
30.0	3.91129e-06	0.630162	3.21996e-05	1096.196
30.0	3.83395e-06	0.624178	2.64977e-05	1096.209
30.0	3.79735e-06	0.618303	2.18056e-05	1096.194
30.0	3.79334e-06	0.612515	1.79443e-05	1096.198
30.0	3.76963e-06	0.606828	1.47667e-05	1096.191
30.0	3.74065e-06	0.601226	1.21518e-05	1096.184
30.0	3.74913e-06	0.595674	1e-05	1096.207
30.0	3.73978e-06	0.595672	1e-05	1096.203
30.0	3.74549e-06	0.601245	1.21518e-05	1096.21
30.0	3.74971e-06	0.606852	1.47667e-05	1096.207
30.0	3.78084e-06	0.612549	1.79443e-05	1096.187
30.0	3.8373e-06	0.618345	2.18056e-05	1096.186
30.0	3.85772e-06	0.62423	2.64977e-05	1096.196
30.0	3.85637e-06	0.630223	3.21996e-05	1096.181
30.0	3.94394e-06	0.636328	3.91284e-05	1096.184
30.0	4.02065e-06	0.642547	4.75482e-05	1096.191
30.0	4.04585e-06	0.648888	5.77798e-05	1096.162
30.0	4.1878e-06	0.655353	7.02131e-05	1096.194
30.0	4.33303e-06	0.661941	8.53217e-05	1096.21
30.0	4.54833e-06	0.668656	0.000103682	1096.18
30.0	4.78171e-06	0.675493	0.000125992	1096.193
